mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_iterations,param_l2_leaf_reg,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0.08982512950897217,0.014620063384819628,0.0019760847091674803,0.0014182357346371362,10,0.1,0.1,"{'iterations': 10, 'l2_leaf_reg': 0.1, 'learning_rate': 0.1}",-0.20989337715422024,-0.21773882023147986,-0.24275455297398246,-0.24752244632613007,-0.27197678767326183,-0.20530596233793444,-0.2268570570785669,-0.2073918434034531,-0.21890125463243792,-0.2261599687705624,-0.2274502070582029,0.019975220000881793,25,-0.22261958472592328,-0.22156853361370646,-0.22227179056598553,-0.21769905717893562,-0.21858601575228614,-0.22189255753947237,-0.22130958097860592,-0.22303736740523922,-0.22309083153489134,-0.2201492434086334,-0.2212224562703679,0.0017587251207775332
0.09229507446289062,0.018995311907482455,0.001571822166442871,0.0008416234876004196,10,0.1,0.31622776601683794,"{'iterations': 10, 'l2_leaf_reg': 0.1, 'learning_rate': 0.31622776601683794}",-0.1694998368820764,-0.1508489863598212,-0.158611376057804,-0.16674765011524864,-0.17999086314718238,-0.1544443941725618,-0.158188405059883,-0.14240332598982705,-0.15746737989444262,-0.15479225613515402,-0.15929944738140012,0.00996743803057079,13,-0.14050623703137963,-0.1384404090830494,-0.1406638203612541,-0.1393618201121434,-0.1379391947948272,-0.14230771400857178,-0.1429136804579645,-0.14159749741837294,-0.14169804705894706,-0.14003878077679932,-0.14054672011033092,0.0015506889960903996
0.09463183879852295,0.012932661392137466,0.0011005401611328125,0.0009439475176475981,10,0.1,1.0,"{'iterations': 10, 'l2_leaf_reg': 0.1, 'learning_rate': 1.0}",-0.21671020518019227,-0.17959962490531545,-0.20544135364759036,-0.2003012902707361,-0.20237686712873193,-0.1590304162423464,-0.1542284069827381,-0.14411378717066928,-0.16964718990055322,-0.20259710172960327,-0.18340462431584764,0.02408639085920702,22,-0.1246796631944986,-0.1272966064220532,-0.12571937143662254,-0.12487406074487795,-0.12519315841165488,-0.12929500163709848,-0.1248763180050605,-0.1271455536974378,-0.1316362176708212,-0.12724747615449108,-0.1267963427374616,0.002140922267643814
0.09760348796844483,0.01221923939392922,0.0009288311004638672,0.0008383445394627309,10,0.1,3.1622776601683795,"{'iterations': 10, 'l2_leaf_reg': 0.1, 'learning_rate': 3.1622776601683795}",-699.9233715644432,-729.6769839876298,-666.7705332271535,-676.1242961796837,-699.6359884110187,-635.3051548670661,-699.9285242807591,-638.0635419776796,-627.1451160307462,-697.5368810283696,-677.0110391554549,32.566300440646074,30,-690.4209980856174,-703.7735983214499,-675.8682716386027,-658.0050043606609,-671.363422441647,-678.1533969816585,-685.3297144137821,-690.7352061429093,-677.0868373127454,-670.9295036554321,-680.1665953354506,12.193301409750882
0.09948520660400391,0.02048876981718709,0.0009572029113769532,0.0007283670172537845,10,0.1,10.0,"{'iterations': 10, 'l2_leaf_reg': 0.1, 'learning_rate': 10.0}",-1226270340.96966,-1156591218.2520833,-1121969612.8597116,-1145248870.0091956,-1195599288.0935085,-1084965217.766229,-1093021366.277603,-1000514317.069253,-1075737635.5052366,-1158978616.0075965,-1125889648.281008,61929525.03588277,33,-1142387897.270144,-1140344827.7799497,-1121785643.2506607,-1133244844.062678,-1113974094.9475985,-1151106405.6655407,-1137317038.1609163,-1122345010.1933715,-1145219110.4025764,-1135287457.5898914,-1134301232.9323328,11079262.256362999
0.09046134948730469,0.013262316133379849,0.001201772689819336,0.000872632344326634,10,1.0,0.1,"{'iterations': 10, 'l2_leaf_reg': 1.0, 'learning_rate': 0.1}",-0.21334274116433383,-0.22195021078851443,-0.23976480298759717,-0.24989690263053227,-0.2738547862828941,-0.20575443852753098,-0.22867666498858052,-0.2049653560879321,-0.22003622924270685,-0.22706145279207413,-0.22853035854926965,0.020147925351741123,26,-0.2255008436713362,-0.2241491932020097,-0.22189357031255189,-0.22154013116175478,-0.21897528851533477,-0.22369698527294382,-0.22356228817774623,-0.22579853413084472,-0.2247581555580338,-0.22266734142322822,-0.22325423314257847,0.0019574919624631513
0.08047912120819092,0.014747722568532127,0.0025000572204589844,0.004250460945523244,10,1.0,0.31622776601683794,"{'iterations': 10, 'l2_leaf_reg': 1.0, 'learning_rate': 0.31622776601683794}",-0.16051753144719225,-0.14711494329794095,-0.16170277269693212,-0.17366772482483092,-0.18437298901574692,-0.1539051357550792,-0.17147087949470305,-0.13753786008601507,-0.1553719206518923,-0.1542985413566608,-0.15999602986269934,0.01295084175980921,14,-0.14209052385118626,-0.14344507765111372,-0.14378729659289352,-0.14442228580651306,-0.14127922659850653,-0.14411896904113913,-0.14286442276380876,-0.14512393425914213,-0.14457397276498327,-0.14410506635509368,-0.143581077568438,0.0011283906711981107
0.08609929084777831,0.01661542400706287,0.0014493703842163087,0.0006454501613604042,10,1.0,1.0,"{'iterations': 10, 'l2_leaf_reg': 1.0, 'learning_rate': 1.0}",-0.18201781685805354,-0.1613281940868767,-0.1847884405926461,-0.16618482590248768,-0.1971981954851548,-0.15549803395377695,-0.1483137751962299,-0.13906600478632952,-0.16134190950266705,-0.17945763125034409,-0.16751948276145665,0.017126046226666195,19,-0.12709754509642313,-0.12440998224008606,-0.13060325145747798,-0.12662534970363093,-0.12374076358413684,-0.13400277318469242,-0.1268255748800321,-0.13104517517163136,-0.13149527363532515,-0.12635227356375212,-0.1282197962517188,0.0031881784324419176
0.10584595203399658,0.01310719688541948,0.0012998342514038085,0.0006404490957868487,10,1.0,3.1622776601683795,"{'iterations': 10, 'l2_leaf_reg': 1.0, 'learning_rate': 3.1622776601683795}",-562.2454957947091,-630.37162256605,-552.6316597522936,-616.773456063724,-596.2215598291764,-586.9144892266679,-597.9946505626914,-535.2525890389908,-529.6266565505917,-586.2093383830604,-579.4241517767956,31.880459377347336,29,-567.5091718685433,-610.955992687818,-567.3124931258835,-593.3350583218396,-559.5878663518168,-595.28188392423,-570.9317517894526,-582.4321366851502,-571.0245885905501,-568.9895986866512,-578.7360542031936,15.418306748508273
0.09868643283843995,0.014981874564337307,0.0013001441955566406,0.0004583287327813343,10,1.0,10.0,"{'iterations': 10, 'l2_leaf_reg': 1.0, 'learning_rate': 10.0}",-1026633020.195567,-1027347370.9834448,-1017824808.6421554,-1011512487.8661429,-1076227796.096419,-950657271.5621842,-991911478.1540866,-909440047.1788875,-947999377.1827222,-1031263943.8882385,-999081760.1749849,47002591.36423192,32,-1019746635.3501678,-976097431.7176594,-981300814.5431771,-988744252.1293955,-1001182738.4769119,-1005210099.0601548,-994785493.9159483,-993159000.0286865,-998688377.4022002,-991292793.3731755,-995020763.5997477,11703657.46950304
