state,cx,cy,area,x,y,width,height,aspectratio,extent,solidity,normangle
3,1162,284,3.0187955204009715,1138,227,1.3008849557522124,3.0530973451327434,0.4260869565217391,0.7600709849157056,0.842115611482501,0.0088944640424516
3,2143,322,3.0064609601378343,2120,265,1.3008849557522124,3.0530973451327434,0.4260869565217391,0.7569653948535937,0.8451555379433326,0.0126415623558892
3,335,2098,2.9669903672957947,297,2055,2.52212389380531,2.52212389380531,1.0,0.4664265927977838,0.7625215107327235,0.2511719809638129
3,994,2079,2.9617041271830216,955,2035,2.52212389380531,2.5486725663716814,0.9895833333333334,0.4607456140350877,0.7610940047092917,0.2579642189873589
none,2222,1060,2.227269167515076,2143,1047,4.247787610619469,0.7699115044247788,5.517241379310344,0.6810344827586207,0.9569957601453664,0.4815083397759331
none,742,1023,2.196608974860992,664,1009,4.1946902654867255,0.7699115044247788,5.448275862068964,0.6801615015277173,0.9593658611666924,0.4809666103786892
none,2243,157,2.1754640144099,2166,143,4.141592920353983,0.7699115044247788,5.379310344827586,0.6822502210433244,0.9546860501082588,0.4811563703748915
none,955,119,2.134583757537788,879,105,4.061946902654867,0.7964601769911505,5.1,0.6598039215686275,0.956872037914692,0.4800187004937066
none,1110,2845,2.108857388988958,1036,2818,4.008849557522124,1.4601769911504423,2.7454545454545456,0.3602649006622517,0.9166666666666666,0.5792872111002604
none,1982,3260,2.1000469888010027,1908,3250,3.9823008849557526,0.5575221238938054,7.142857142857142,0.9458730158730158,1.0,0.4987662845187717
none,239,2826,2.097227660740857,165,2808,4.008849557522124,1.008849557522124,3.973684210526316,0.5185604740327641,0.9575221238938052,0.5402105967203776
none,1982,2902,2.084188268462684,1908,2884,3.9823008849557526,1.008849557522124,3.947368421052632,0.5187719298245614,0.9544867656552616,0.4596792432996961
none,2064,1927,2.0743206202521733,1990,1913,3.9557522123893807,0.7699115044247788,5.137931034482758,0.6810923397361721,0.9595696119986956,0.5200042300754123
2,2447,1207,2.0443652596131257,2423,1169,1.3008849557522124,2.070796460176992,0.6282051282051282,0.7588958660387232,0.8671150971599402,0.0323239220513237
2,1014,3053,2.020400971101888,990,3015,1.3008849557522124,2.04424778761062,0.6363636363636362,0.7597402597402597,0.8796992481203008,0.0357290214962429
2,142,2148,2.0003132586733496,119,2111,1.2743362831858407,2.04424778761062,0.6233766233766233,0.7678571428571428,0.8852152214597628,0.0310050964355468
2,1173,2111,1.9981987626282405,1149,2073,1.3008849557522124,2.04424778761062,0.6363636363636362,0.75139146567718,0.8732481133528415,0.0426155540678236
2,2328,2111,1.9981987626282405,2304,2073,1.3008849557522124,2.04424778761062,0.6363636363636362,0.75139146567718,0.8732481133528415,0.0426154931386311
2,417,303,1.992912522515468,394,265,1.2743362831858407,2.04424778761062,0.6233766233766233,0.7650162337662337,0.8800186741363213,0.0287616491317749
2,142,1207,1.9886835304252488,119,1169,1.2743362831858407,2.04424778761062,0.6233766233766233,0.7633928571428571,0.8784246575342466,0.0325222147835625
2,1195,1206,1.9809303782598484,1172,1169,1.2743362831858407,2.04424778761062,0.6233766233766233,0.7604166666666666,0.8784185028910768,0.0358456850051879
2,461,3005,1.9791682982222567,414,2977,2.52212389380531,1.5398230088495577,1.6379310344827585,0.5096188747731397,0.8559670781893005,0.3780793931749132
2,2431,2996,1.9685958179967111,2407,2959,1.3008849557522124,2.017699115044248,0.6447368421052632,0.7500000000000002,0.8631025957972805,0.0400143861770629
2,1386,331,1.966128905944084,1339,303,2.4955752212389384,1.5398230088495577,1.620689655172414,0.5116471019809243,0.8739035087719299,0.3758136325412326
2,2526,2130,1.9657764899365653,2503,2092,1.3008849557522124,2.04424778761062,0.6363636363636362,0.7391995759342698,0.8636011766527326,0.0323753966225518
2,1713,331,1.96295716187642,1667,303,2.4955752212389384,1.5398230088495577,1.620689655172414,0.5108217168011738,0.8677364075401153,0.3780157725016276
2,369,1226,1.961899913853865,346,1189,1.3008849557522124,2.017699115044248,0.6447368421052632,0.7474489795918369,0.8652471246502953,0.0353238821029663
2,514,2130,1.9594330018012376,491,2092,1.2743362831858407,2.04424778761062,0.6233766233766233,0.7521645021645021,0.8725674827369742,0.0334138870239257
2,2120,1226,1.9555564257185367,2097,1189,1.3008849557522124,2.017699115044248,0.6447368421052632,0.7450322234156822,0.8619136377757067,0.0380939324696858
2,797,2130,1.9541467616884645,774,2092,1.2743362831858407,2.04424778761062,0.6233766233766233,0.7501352813852814,0.8713073538654934,0.0307148774464925
2,618,322,1.9523846816508728,595,285,1.2743362831858407,2.017699115044248,0.631578947368421,0.7593201754385965,0.8724409448818898,0.0361884249581231
2,1848,1226,1.9520322656433555,1825,1189,1.2743362831858407,2.017699115044248,0.631578947368421,0.7591831140350879,0.8717343405728675,0.0335598813162909
2,1332,3024,1.9509750176208007,1286,2997,2.4955752212389384,1.513274336283186,1.649122807017544,0.5166106756252333,0.8681198055511996,0.3788823445638021
2,2672,3072,1.9509750176208007,2649,3035,1.2743362831858407,2.017699115044248,0.631578947368421,0.7587719298245615,0.8740132617619198,0.0396277639600965
2,1579,1216,1.9435742814629184,1534,1189,2.4690265486725664,1.513274336283186,1.631578947368421,0.5201848707790983,0.8793048469387754,0.3767567528618706
none,1692,1513,1.888949800297596,1625,1499,3.584070796460177,0.7964601769911505,4.5,0.6617283950617284,0.9590266595097512,0.4776240878634982
none,2366,2322,1.751859973373013,2304,2309,3.345132743362832,0.7699115044247788,4.344827586206897,0.6802134646962232,0.9609510922095496,0.4757964664035373
