state,cx,cy,area,width,height,aspectratio,extent,solidity,normangle
s,101,2303,1.0035133136094676,1.0096153846153846,1.5576923076923077,0.6481481481481481,0.6380952380952382,0.7416974169741698,0.0837756474812825
s,69,117,1.0043454142011836,1.0096153846153846,1.528846153846154,0.660377358490566,0.6506738544474394,0.7452917567150354,0.1201720873514811
s,101,840,1.0064256656804735,1.0096153846153846,1.5576923076923077,0.6481481481481481,0.63994708994709,0.7436212726713802,0.0952964146931966
s,101,2033,1.0072577662721895,1.0096153846153846,1.5576923076923077,0.6481481481481481,0.6404761904761906,0.7440073755377996,0.1140497737460666
s,69,2372,1.0089219674556211,1.0096153846153846,1.5576923076923077,0.6481481481481481,0.6415343915343916,0.7438650306748467,0.1054980595906575
s,69,2102,1.0110022189349115,1.0096153846153846,1.5576923076923077,0.6481481481481481,0.642857142857143,0.7451701931922724,0.1079106012980143
s,69,1357,1.0118343195266273,1.0096153846153846,1.5576923076923077,0.6481481481481481,0.6433862433862434,0.7425954198473281,0.1253989749484592
s,69,1699,1.0122503698224854,1.0096153846153846,1.528846153846154,0.660377358490566,0.6557951482479786,0.7511577647422044,0.1108227941724989
s,69,565,1.0122503698224854,1.0096153846153846,1.528846153846154,0.660377358490566,0.6557951482479786,0.7511577647422044,0.1108227941724989
s,69,2821,1.0126664201183433,1.0096153846153846,1.5576923076923077,0.6481481481481481,0.643915343915344,0.7432061068702289,0.1234244134691026
s,101,2752,1.0134985207100593,1.0096153846153846,1.5576923076923077,0.6481481481481481,0.6444444444444445,0.7444987775061124,0.1237668673197428
s,101,1630,1.0134985207100593,1.0096153846153846,1.5576923076923077,0.6481481481481481,0.6444444444444445,0.7447263833690003,0.0696027490827772
s,101,496,1.0134985207100593,1.0096153846153846,1.528846153846154,0.660377358490566,0.6566037735849057,0.7520839765359678,0.1056069162156846
s,101,1288,1.0139145710059174,1.0096153846153846,1.5576923076923077,0.6481481481481481,0.6447089947089949,0.743894993894994,0.1203458574083116
s,101,49,1.014330621301775,1.0096153846153846,1.5576923076923077,0.6481481481481481,0.6449735449735451,0.7451100244498777,0.1028709093729654
s,69,909,1.0147466715976332,1.0096153846153846,1.5576923076923077,0.6481481481481481,0.6452380952380953,0.7447328244274808,0.1220824559529622
q,2210,583,1.021403476331361,1.2692307692307694,1.0384615384615383,1.2222222222222223,0.7749368686868686,0.983573717948718,0.3667295244004991
q,1845,445,1.025563979289941,1.2692307692307694,1.0384615384615383,1.2222222222222223,0.7780934343434343,0.984818218138234,0.3749103546142578
q,3797,1717,1.0284763313609468,1.2692307692307694,1.0673076923076923,1.1891891891891893,0.7592137592137591,0.9832935560859188,0.3665705362955729
q,3167,1786,1.0297244822485208,1.2692307692307694,1.0673076923076923,1.1891891891891893,0.7601351351351351,0.9829229547259728,0.3713918050130208
q,2689,2665,1.0301405325443789,1.2692307692307694,1.0673076923076923,1.1891891891891893,0.7604422604422605,0.983320095313741,0.3688372294108072
q,572,1947,1.0301405325443789,1.2980769230769231,1.0384615384615383,1.25,0.7641975308641975,0.984493041749503,0.3721975962320963
q,1124,995,1.0309726331360949,1.2692307692307694,1.0673076923076923,1.1891891891891893,0.7610565110565111,0.9806094182825486,0.3658792283799913
q,1592,617,1.0309726331360949,1.2692307692307694,1.0673076923076923,1.1891891891891893,0.7610565110565111,0.9841143764892772,0.3695618099636502
q,1997,583,1.031804733727811,1.2980769230769231,1.0384615384615383,1.25,0.7654320987654322,0.9841269841269844,0.3711263020833333
q,585,995,1.0322207840236688,1.2692307692307694,1.0673076923076923,1.1891891891891893,0.7619778869778869,0.9833531510107014,0.3702477349175347
q,2937,960,1.032636834319527,1.2692307692307694,1.0673076923076923,1.1891891891891893,0.7622850122850122,0.9853116315998413,0.3700467851426866
q,3074,1374,1.0330528846153848,1.2980769230769231,1.0384615384615383,1.25,0.766358024691358,0.9845360824742267,0.3681183709038628
q,444,204,1.0330528846153848,1.2980769230769231,1.0384615384615383,1.25,0.766358024691358,0.9845360824742267,0.3707781897650825
q,2149,2390,1.0338849852071008,1.2980769230769231,1.0673076923076923,1.2162162162162162,0.7462462462462464,0.9795033504138746,0.3678323109944661
q,2149,2459,1.0355491863905326,1.2980769230769231,1.0673076923076923,1.2162162162162162,0.7474474474474475,0.9810800157666534,0.3694645351833767
q,2823,1374,1.0355491863905326,1.2980769230769231,1.0384615384615383,1.25,0.7682098765432098,0.983794466403162,0.3710850609673394
q,2650,1236,1.0355491863905326,1.2980769230769231,1.0673076923076923,1.2162162162162162,0.7474474474474475,0.9806934594168636,0.3693187713623047
q,1592,204,1.0359652366863907,1.2692307692307694,1.0384615384615383,1.2222222222222223,0.7859848484848485,0.9799291617473436,0.3619526757134331
q,1252,1270,1.0363812869822486,1.2980769230769231,1.0673076923076923,1.2162162162162162,0.7480480480480481,0.9791666666666669,0.3693294949001736
q,2030,1201,1.0363812869822486,1.2980769230769231,1.0673076923076923,1.2162162162162162,0.7480480480480481,0.9791666666666669,0.3693294949001736
q,1823,1201,1.0363812869822486,1.2980769230769231,1.0673076923076923,1.2162162162162162,0.7480480480480481,0.9791666666666669,0.3693294949001736
q,1968,2390,1.0367973372781067,1.2980769230769231,1.0673076923076923,1.2162162162162162,0.7483483483483485,0.9811023622047244,0.3707217322455512
q,559,479,1.0376294378698223,1.2980769230769231,1.0673076923076923,1.2162162162162162,0.748948948948949,0.983826429980276,0.3708531697591146
q,2372,1408,1.0384615384615383,1.2980769230769231,1.0673076923076923,1.2162162162162162,0.7495495495495497,0.9830641985033478,0.3685696072048611
