state,cx,cy,area,x,y,width,height,aspectratio,extent,solidity,normangle
True,37,237,0.115240034458454,32,230,0.3716814159292035,0.5575221238938054,0.6666666666666666,0.5561224489795918,0.981981981981982,0.2684636010064019
True,39,221,0.094799906022398,32,215,0.3982300884955752,0.3185840707964602,1.25,0.7472222222222222,0.9817518248175182,0.1173042297363281
False,602,326,0.0641397133683139,598,319,0.4513274336283186,0.4778761061946903,0.9444444444444444,0.2973856209150327,0.6691176470588236,0.0
False,1392,308,0.0556817291878768,1388,305,0.4778761061946903,0.3451327433628319,1.3846153846153846,0.3376068376068376,0.7745098039215685,0.3599650488959418
False,401,308,0.0518051531051766,397,305,0.4513274336283186,0.3451327433628319,1.3076923076923077,0.332579185520362,0.765625,0.2910632239447699
False,847,376,1.0276450779230952,833,320,0.929203539823009,2.920353982300885,0.3181818181818182,0.3787012987012987,0.5395004625346902,0.9756745232476128
False,1379,298,0.0532148171352494,1368,290,0.4513274336283186,0.3451327433628319,1.3076923076923077,0.3416289592760181,0.7864583333333334,0.501520495944553
False,1178,298,0.0556817291878768,1166,290,0.4778761061946903,0.3451327433628319,1.3846153846153846,0.3376068376068376,0.7745098039215685,0.3599650488959418
False,1264,284,3.8434489779935785,1187,267,4.592920353982302,0.9557522123893806,4.805555555555556,0.8755619781631342,0.9442424242424242,0.0
False,1114,283,1.34728639674211,1087,267,1.9115044247787607,0.9557522123893806,2.0,0.7374614197530865,0.8602610261026103,0.0
False,370,283,1.3275511003210902,343,267,1.8849557522123888,0.9557522123893806,1.972222222222222,0.7368935837245697,0.8969047619047618,0.0
False,301,284,1.8494792074555568,264,267,2.017699115044248,0.9557522123893806,2.111111111111111,0.9590643274853802,1.0,0.5
False,198,284,3.04663638499491,134,267,3.371681415929204,0.9557522123893806,3.5277777777777777,0.9454286964129484,0.9823863636363636,0.9497585720486112
False,112,275,0.1607016994283029,99,267,0.584070796460177,0.4247787610619469,1.3749999999999998,0.6477272727272728,0.9806451612903228,0.0
False,54,285,2.654044952619626,0,267,3.212389380530974,0.9557522123893806,3.361111111111111,0.8644398530762167,0.934483186499566,0.8245615641276042
False,1178,260,0.0546244811653222,1167,252,0.4513274336283186,0.3451327433628319,1.3076923076923077,0.3506787330316742,0.8072916666666666,0.0
False,1114,246,1.2990054037121157,1087,230,1.858407079646018,0.929203539823009,2.0,0.7522448979591836,0.8672941176470588,0.0
False,978,248,4.430221630511396,863,230,5.867256637168142,0.929203539823009,6.314285714285713,0.8126050420168068,0.8782311024172139,0.4724235534667969
False,1057,209,1.2232359620957007,1031,192,1.4070796460176993,0.929203539823009,1.5142857142857142,0.9355795148247978,0.9908649728803882,0.0031764725844065
False,946,207,3.041350144882137,882,192,3.8761061946902657,0.929203539823009,4.171428571428571,0.8444227005870842,0.933578537429684,0.4566351996527777
False,810,209,3.180554467851829,742,192,3.637168141592921,0.929203539823009,3.9142857142857137,0.9410844629822732,0.975886678200692,0.0
False,469,208,0.0905709139321795,463,202,0.3716814159292035,0.3716814159292035,1.0,0.6556122448979591,0.9846743295019156,0.75
False,437,192,0.0021144960451092,436,192,0.1061946902654867,0.079646017699115,1.3333333333333337,0.25,0.8571428571428571,0.6683777279324001
False,370,208,1.2975957396820426,343,192,1.8849557522123888,0.929203539823009,2.0285714285714285,0.7408450704225352,0.8594771241830065,0.0
False,240,209,4.682903907901951,124,192,5.734513274336283,0.929203539823009,6.171428571428571,0.8788359788359789,0.9394796380090498,0.4482396867540147
False,83,206,1.8022554624481169,32,192,2.68141592920354,0.929203539823009,2.885714285714285,0.7233380480905234,0.820735034504895,0.500860087076823
False,1135,171,2.3675307385073228,1087,154,2.5752212389380533,0.9557522123893806,2.6944444444444446,0.9619129438717068,1.0,0.5
False,954,171,3.576670060302295,882,154,3.8761061946902657,0.9557522123893806,4.055555555555555,0.9654680365296804,1.0,0.5014468299018012
False,831,171,2.313963505364555,781,154,2.601769911504425,0.9557522123893806,2.7222222222222223,0.9305555555555556,0.9867748722572888,0.988950432671441
False,759,172,0.878573106742893,742,154,1.0353982300884956,0.9557522123893806,1.0833333333333333,0.8878205128205129,0.993227091633466,0.9443075391981336
False,390,171,2.367883154514841,343,154,2.5752212389380533,0.9557522123893806,2.6944444444444446,0.9620561282932416,1.0,0.4973911285400391
False,752,143,0.225193828804135,742,132,0.7699115044247788,0.5309734513274337,1.45,0.5508620689655173,0.9845916795069336,0.6956287384033203
False,959,140,2.111676717049104,882,126,3.8761061946902657,0.6902654867256638,5.615384615384615,0.7892518440463646,0.9787651094413592,0.4903778923882378
False,381,97,0.1145352024434176,376,86,0.4247787610619469,0.584070796460177,0.7272727272727273,0.4616477272727273,0.7420091324200914,0.082255999247233
False,361,95,0.1036103062103532,355,86,0.3982300884955752,0.5575221238938054,0.7142857142857142,0.4666666666666666,0.8828828828828829,0.1049578348795572
False,332,95,0.2029916203304879,318,86,0.929203539823009,0.584070796460177,1.590909090909091,0.374025974025974,0.5161290322580645,0.4123102823893229
False,300,97,0.1571775393531208,287,86,0.6371681415929203,0.584070796460177,1.0909090909090908,0.4223484848484849,0.5853018372703414,0.2886669582790798
False,274,96,0.1180593625185997,269,86,0.4247787610619469,0.584070796460177,0.7272727272727273,0.4758522727272727,0.7494407158836689,0.048171509636773
False,253,97,0.1145352024434176,248,86,0.4247787610619469,0.584070796460177,0.7272727272727273,0.4616477272727273,0.7420091324200914,0.082255999247233
False,233,95,0.1036103062103532,227,86,0.3982300884955752,0.5575221238938054,0.7142857142857142,0.4666666666666666,0.8828828828828829,0.1049578348795572
